name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Bureau of Safety and Environmental Enforcement,2013,3,3,46,224,86,29
Region 10 -Seattle,2012,16.01,17,39,39,22.78,19
Appeals,2009,NA,NA,NA,NA,NA,NA
Office of the Secretary,2008,1,1,3,13,NA,28.33
United States European Command,2009,91,46,NA,NA,189,175
Region 7,2009,24.8,16,NA,NA,32,265.33
Bureau of Land Management,2013,4,3,106,106,653,45
"Adjudicatory Boards (ARB, BRB, ECAB)",2009,7,5,NA,NA,NA,NA
Tax Division,2008,6,1,14,2,132,87
Office of Legal Counsel,2012,17.47,7,9,124.67,5,305.15
International Trade Administration,2010,12,20,NA,NA,NA,NA
Federal Trade Commission,2012,5.29,3,11.4,16,49.48,26.5
Dallas Regional Office,2013,15,14,NA,NA,NA,NA
United States Joint Forces Command,2009,26,7,NA,NA,43,42
United States National Central Bureau -- INTERPOL,2010,20.48,5,NA,NA,68.86,46.5
Marshall Space Flight Center,2012,9.44,7,NA,NA,63,20.5
Civil Division,2012,31.11,7,NA,NA,44,44
Houston District Office,2010,12.9878,16,NA,NA,NA,NA
Office of Administration,2009,NA,NA,NA,NA,NA,NA
Federal Emergency Management Agency,2013,151.37,100.5,NA,NA,147.96,94
United States Secret Service,2009,38.66,36,NA,NA,299.37,208
Ames Research Center,2011,32.59,20.5,NA,NA,20,193
Region 2,2009,57.45,53,NA,NA,73.94,42
United States European Command,2013,10,5,NA,NA,385,168
United States Geological Survey,2011,15,12,NA,NA,1,1
Office of the Associate Attorney General,2011,57.27,39,144.6,78,204.21,157
Administrative Law Judges,2009,NA,NA,2.8,2,9.6,3
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2009,13,7,NA,NA,NA,NA
Armed Service Board of Contract Appeals,2008,2,2,NA,NA,13,8
Drug Enforcement Administration,2009,130.37,81,NA,NA,12,83
Federal Deposit Insurance Corporation,2009,68,2,NA,NA,19,17
Bureau of International Labor Affairs,2009,8,8,NA,NA,26.3,19
Chicago Operations Office,2010,5.64,3,NA,NA,7,23.79
United States Securities and Exchange Commission,2009,27,6,44,31,424,445
"United States Section, International Boundary and Water Commission",2008,17.38,18.5,NA,NA,NA,NA
Departmental Management,2010,36,22.5,NA,NA,NA,NA
Federal Highway Administration,2012,27,13,NA,51,575,52
Office of Budget and Program Analysis,2013,8.45,9,NA,NA,34.5,28
Office of the Inspector General,2009,17,7,4,3,84,69
"Office of Planning, Evaluation, and Policy Development",2012,52,52,NA,NA,392,349
Federal Election Commission,2013,16.3,17,NA,NA,28.1,20.5
Alcohol and Tobacco Tax and Trade Bureau,2011,12,10,NA,NA,22,21
United Sates Department of Health and Human Services,2010,32.94,14,27.25,121,139.79,122
Office of Innovation and Improvement,2011,46.08,32,NA,NA,134.25,89.5
United States Strategic Command,2011,38,13,NA,NA,47,566
Federal Deposit Insurance Corporation,2013,9.89,7,NA,13,34,12.96
Office of Assistant Secretary for Human Resources and Administration (006),2011,11.29,10,NA,NA,NA,NA
Office of Vocational and Adult Education,2008,125,90,NA,NA,95,95
Indianapolis District Office,2013,10.18,9,NA,NA,21,21
Office of Inspector General Appeals only,2010,NA,NA,NA,NA,NA,NA
United Sates Department of Health and Human Services,2013,29,10,NA,512,1541,99
Financial Management Service,2009,NA,NA,NA,NA,7,5
United States Merit Systems Protection Board,2009,15,7,NA,NA,NA,NA
Inspector General,2013,16.75,16,NA,NA,NA,NA
OCR Regional Enforcement Office - Atlanta,2009,7,1,NA,NA,74,54
Assistant General Counsel for Administration,2009,NA,NA,NA,NA,NA,NA
Bureau of the Census,2013,4,4,10,11,6,1
Administration on Aging,2011,5,2,NA,NA,NA,NA
"Office of Operations, Security, and Preparedness (formerly S&LE - Security & Law Enforcement)",2011,21.62,16,NA,NA,NA,NA
DEPARTMENT OF DEFENSE INSPECTOR GENERAL,2012,7,5,22,22,145,61
Region 4,2009,15.09,15,NA,NA,5,38.65
Office of General Council,2012,157,23,NA,NA,NA,NA
Women's Bureau,2012,95.4,88,NA,NA,468.7,102
Region 5 - Chicago,2010,18,175,NA,NA,29,35
Peace Corps,2010,22,20,NA,NA,80,52
National Mediation Board,2013,6,7,15,15,NA,NA
Marshall Space Flight Center,2008,15,14,NA,NA,37,35
Office of Public Affairs,2011,NA,NA,458.5,458.5,895,895
DEPARTMENT OF DEFENSE INSPECTOR GENERAL,2013,6,4,25,26,126,33
Institute of Education Sciences - National Assessment Governing Board,2010,294,328,NA,NA,53,53
Region 3 - Philadelphia,2010,26,150,19,19,36,65
Agricultural Marketing Service,2013,16,15,NA,NA,67.6,26
Western Area Power Administration,2008,11,16,NA,NA,119,119
Internal Revenue Service,2009,NA,NA,5,27.1,24.8,15
National Science Foundation,2013,32,21,NA,NA,NA,NA
OCR Region IV - Atlanta,2013,54.44,32,NA,NA,12,89.74
Employment and Training Administration,2008,31.6,6,25,25,35.5,18
Office of the Solicitor,2010,170,45,NA,NA,NA,NA
Fish & Wildlife Service,2010,6,3,7,12,27,15
Law Department Appeals only,2010,NA,NA,NA,NA,NA,NA
Philadelphia District Office,2013,28.67,29,NA,NA,NA,NA
Board of Governors of the Federal Reserve System,2013,5,2,350,355,1,60
Office of Legal Policy,2013,20.32,19,NA,NA,111.83,36
National Security Agency,2013,19,7,173,39,993,559
United States Parole Commission,2010,14.76,3,NA,NA,378,109.86
National Telecommunications and Information Administration,2013,8,7,143,143,89,18
Professional Responsibility Advisory Office,2008,12.1,6.5,NA,NA,NA,NA
Council on Environmental Quality,2011,27.7,24,NA,NA,484.8,220.5
OCR Region II - New York,2013,42.45,22.5,NA,NA,12,84.06
Stennis Space Center,2008,28,7,NA,NA,220,10
New York District Office,2013,37.82,23,NA,NA,20.5,20.5
United States Department of the Army,2013,443,6,NA,NA,30,13
National Science Foundation,2012,29,23,NA,NA,NA,NA
United States International Trade Commission,2009,19,18,NA,NA,NA,NA
Federal Motor Carrier Safety Administration,2012,41,42,81,16,1,53
Region 3,2013,29.94,20,35,35,21,43.03
Administrative Law Judges,2011,NA,NA,6.4,2,4.3,2
Office of Civil Rights & Civil Liberties,2008,41,23,NA,NA,97,72
San Francisco Regional Office,2009,11,9,NA,NA,NA,NA
Office of the Pardon Attorney,2009,14,7,NA,NA,36,36
Veterans Benefits Administration,2010,19.96,7,NA,NA,121,36.88
United States Visitor and Immigrant Status Indicator Technology,2009,32.86,5,NA,NA,11,19
Maritime Administration,2009,137,6,NA,NA,137,77
Defense Nuclear Facilities Safety Board,2009,9,5.5,2,2,NA,NA
Office of Public Health and Science,2008,NA,NA,3.5,NA,98,53
Office of Legislative Affairs,2013,37.87,21,256,427,14,238.63
Region 10,2009,29.74,18,NA,NA,8,76
United States Special Operations Command,2008,162,6,523,539,598,305
United States Coast Guard,2008,17,5,8,8,343,139
Office of Intergovermental and Public Liaison,2013,NA,NA,NA,NA,NA,NA
Export-Import Bank of the United States,2010,31.98,28,NA,NA,1,115.1
OCR Regional Enforcement Office - Boston,2008,20,11,14,14,42,41
National Mediation Board,2010,17,10,15,10,NA,NA
NASA Management Office - Jet Propulsion Laboratory,2009,28,14,NA,NA,NA,NA
Office of the Inspector General,2010,28,20,22,17,86,48
United States Central Command,2012,97,33,NA,NA,152,74
Office of Science and Technology Policy,2008,51,18,25,25.5,359,81.5
United States Consumer Product Safety Commission,2009,33,17,NA,NA,68,68
Food and Drug Administration,2010,53.1,8,40,40,248.6,122
United States Strategic Command,2008,14,13,13,5,38,29
Office of The Federal Detention Trustee,2008,13.33,5.5,17.5,14.5,65.33,64
Office of the Secretary,2013,16,16,5,5,63,19
Region 8,2011,16.23,14,NA,NA,7,92.09
United States Small Business Administration,2013,6.5,5,NA,NA,NA,NA
Region 6 - Fort Worth,2011,15,15,16,16,39,41
Committee for Purchase From People Who Are Blind or Severely Disabled,2013,9.67,11,NA,NA,20,20
Defense Security Service,2009,20,12,NA,NA,NA,NA
Bureau of Indian Affairs,2010,3,2,NA,NA,785,33
Federal Communications Commission,2013,33.3,19,12,12,19,288.16
United States Strategic Command,2009,9,7,NA,NA,27,30
Officer of Special Education and Rehabilitative Services,2012,26.1,28.5,NA,NA,67.61,49
Marshall Space Flight Center,2011,13.9,12,NA,NA,2,32.14
Office of Civil Rights,2012,18.65,18.5,NA,NA,119,119
National Security Division,2013,16.65,7.5,NA,NA,4,126.71
Agricultural Marketing Service,2010,35,32,NA,NA,NA,NA
Occupational Safety and Health Administration,2008,12.7,9,6.5,6,18.5,16
United States Geological Survey,2013,2,2,NA,NA,585,15
Postal Inspection Service,2011,11.67,7,NA,NA,23.5,23.5
Charlotte District Office,2011,20.7727,19,1,1,NA,NA
Corporation for National and Community Service,2013,45,22,4,199,24,174
Departmental Offices,2012,39,199,587,562,54,1268
Department of Justice,2009,32.17,12,NA,2759,1871,103.34
Department of Veterans Affairs,2009,36,55,NA,NA,3.5,1
Office of Resolution Management,2012,10,10,NA,NA,10.18,9
Financial Management Service,2011,9,9,15,14,26,25
Office of Postsecondary Education,2012,35.07,28,NA,NA,86.23,58
Ames Research Center,2008,118,99,41,41,30,9
National Labor Relations Board,2011,5,3,1,8,NA,NA
Dallas District Office,2012,14.84,9,NA,NA,NA,NA
United States Mint,2012,10,8,NA,NA,NA,NA
Defense Contract Management Agency,2008,8,5,NA,NA,71,66
Defense Technical Information Center,2010,35,16,NA,NA,NA,NA
Federal Trade Commission,2008,8.29,5,NA,NA,33.02,21
United States Consumer Product Safety Commission,2013,27,11,NA,NA,96,53
Office of Civil Rights & Civil Liberties,2011,8.9,7,NA,NA,117.76,63
Federal Housing Finance Agency,2011,10.57,7,NA,NA,81,52.5
Region 9,2013,12.71,14,NA,NA,455,55.42
Federal Labor Relations Authority,2011,11,12,NA,NA,NA,NA
Fish & Wildlife Service,2008,16.5,5,1,1,73,276.86
"TRICARE Management Agency, DoD Health Care System",2008,22,8,NA,NA,89,47
Alcohol and Tobacco Tax and Trade Bureau,2013,8.35,7,NA,NA,19.49,21
Bureau of Indian Affairs,2008,2.5,7,1,10.8,6,88.72
Office of Postsecondary Education,2009,33,17,NA,NA,75,56
Executive Office for United States Attorneys,2008,208.69,52,NA,NA,19,641.48
Corporation for National and Community Service,2011,18,16,16,8,29,22
FOIA/Privacy Act Appeals Office,2012,NA,NA,NA,NA,NA,NA
Forest Service,2011,23.92,15,6.14,3,45.25,25.5
National Drug Intelligence Center,2010,21.55,14,NA,NA,NA,NA
United States National Central Bureau -- INTERPOL,2011,16.87,7.5,NA,NA,5,137.57
Office of Elementary and Secondary Education,2011,50.98,33,NA,NA,105.97,82
Office for Civil Rights (Headquarters),2012,25.42,25,NA,NA,66.78,53
National Technical Information Service,2013,10,10,NA,NA,45,43
Defense Nuclear Facilities Safety Board,2008,6.3,6,NA,NA,NA,NA
Forest Service,2013,21.71,14,9.8,11,47.36,29
Office of the Attorney General,2012,28.25,15.5,17,277.55,3,248.97
Office for Civil Rights (Headquarters),2008,105,92,NA,NA,52,35
Office of Legislation and Congressional Affairs,2011,26,26,NA,NA,NA,NA
South Eastern Power Administration,2009,12,12,NA,NA,NA,NA
Federal Retirement Thrift Investment Board,2011,16,20,NA,NA,NA,NA
Bureau of Land Management,2008,3,2,2,8,NA,35.09
Region 8,2008,18.05,11,NA,NA,144.11,55
National Capital Planning Commission,2010,3.5,4,NA,NA,NA,NA
United States Marshals Service,2008,13.6,3,3,3,84.7,78.5
United States Geological Survey,2009,2,1,NA,NA,NA,NA
Office of Policy and Planning,2013,13,13,5,5,74,74
Federal Financial Institutions Council,2011,7.45,7.5,1,1,17,17
Postal Regulatory Commission,2010,6,3,NA,NA,NA,NA
Federal Labor Relations Authority,2009,80,10,NA,NA,NA,NA
Federal Election Commission,2009,47.2,20,9,9,68.1,54
Region 6,2008,32.44,22,NA,NA,114.96,72
Council on Environmental Quality,2009,32,10,NA,NA,NA,NA
Chicago Regional Office,2011,3,3,NA,NA,NA,NA
United States Pacific Command,2010,3,2,16,184,1,422
Surface Transportation Board,2011,9.1,8,NA,NA,NA,NA
Bureau of Reclamation,2008,5,3,2,5,1,20.88
Office of Thrift Supervision,2010,21,8,NA,NA,13,13
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2012,19.01,14,NA,NA,NA,NA
Pipeline and Hazardous Materials Safety Administration,2009,131,13,1,2,438,438
Bureau of Industrty and Security,2013,8,7,16,16,28,25
Environmental Management Consolidated Business Center,2011,52.11,32,NA,NA,16,63.33
Chicago District Office,2013,15.72,18,NA,NA,NA,NA
Legal Services Corporation ,2011,223,195,31,31,256,222
United States Coast Guard,2010,17.37,9,4,4,76.75,56
Indian Health Service,2010,14,16,NA,NA,90,80
Office of The Inspector General,2010,5.95,3,455,455,21,99.37
